frame,robot_id,equipo,cx,cy
0,ball,-1,599.4649330181245,786.7987916995008
1,ball,-1,606.7740771579239,777.2850402442408
2,ball,-1,613.5172101449275,768.1609299516908
3,ball,-1,621.424321959755,758.9093030037911
4,ball,-1,627.3733931240657,751.0714499252615
5,ball,-1,633.8180272108843,742.2608843537414
6,ball,-1,640.4339553604098,734.0965971459934
6,robot_0,-1,1487.607142857143,652.7678571428571
7,ball,-1,647.8629943502825,725.4590395480226
7,robot_0,-1,1489.4912280701753,727.061403508772
8,ball,-1,654.8949096880132,718.4991789819376
8,robot_0,-1,1488.7322175732218,683.0177824267782
9,ball,-1,658.987414187643,710.8329519450801
9,robot_0,-1,1485.248447204969,632.4565217391304
10,ball,-1,665.6989981785064,702.8720400728597
10,robot_0,-1,1473.3666666666666,640.1866666666666
10,robot_1,-1,1405.2035536366654,675.5419461972766
10,robot_2,-1,1490.4857142857143,604.1428571428571
11,ball,-1,671.3616109682947,697.200942587832
11,robot_0,-1,1473.3666666666666,640.1866666666666
11,robot_1,-1,1405.2035536366654,675.5419461972766
11,robot_2,-1,1479.195652173913,586.8695652173913
12,ball,-1,677.3391232423489,691.3457402812242
12,robot_0,-1,1473.3666666666666,640.1866666666666
12,robot_1,-1,1386.9635343123412,651.7466464275628
12,robot_2,-1,1463.7291666666667,574.8645833333334
13,ball,-1,683.0480435859336,684.5433382862802
13,robot_0,-1,1473.3666666666666,640.1866666666666
13,robot_1,-1,1373.169809897405,639.924901931201
13,robot_2,-1,1463.7291666666667,574.8645833333334
14,ball,-1,688.6950464396285,678.4767801857585
14,robot_0,-1,1473.3666666666666,640.1866666666666
14,robot_1,-1,1355.9782298503812,628.331729789229
14,robot_2,-1,1402.84375,550.8125
15,ball,-1,693.5141700404859,672.063877642825
15,robot_0,-1,1473.3666666666666,640.1866666666666
15,robot_1,-1,1340.552665382145,625.5115205523442
15,robot_2,-1,1408.7364864864865,547.9121621621622
16,ball,-1,701.1111111111111,667.3102453102453
16,robot_0,-1,1473.3666666666666,640.1866666666666
16,robot_1,-1,1329.0262919684003,619.6854015799869
16,robot_2,-1,1337.3358778625955,554.2595419847328
16,robot_3,-1,1366.6486486486488,541.0540540540541
17,ball,-1,704.5431547619048,660.8492063492063
17,robot_0,-1,1473.3666666666666,640.1866666666666
17,robot_1,-1,1333.8327990551713,596.4754513244475
17,robot_2,-1,1337.3358778625955,554.2595419847328
17,robot_3,-1,1379.2830188679245,538.0188679245283
18,ball,-1,709.9213333333332,654.0646666666667
18,robot_0,-1,1473.3666666666666,640.1866666666666
18,robot_1,-1,1315.4621988723732,612.5959337092089
18,robot_2,-1,1311.3647058823528,565.1294117647059
18,robot_3,-1,1379.2830188679245,538.0188679245283
19,ball,-1,714.2859437751003,647.4682730923695
19,robot_0,-1,1473.3666666666666,640.1866666666666
19,robot_1,-1,1314.379062913766,611.2381582881305
19,robot_2,-1,1312.180957390847,589.2614413466597
19,robot_3,-1,1361.6050420168067,536.5882352941177
20,robot_0,-1,1473.3666666666666,640.1866666666666
20,robot_1,-1,1314.379062913766,611.2381582881305
20,robot_2,-1,1312.180957390847,589.2614413466597
20,robot_3,-1,1361.6050420168067,536.5882352941177
21,ball,-1,727.7747747747748,635.9009009009009
21,robot_0,-1,1473.3666666666666,640.1866666666666
21,robot_1,-1,1314.379062913766,611.2381582881305
21,robot_2,-1,1312.180957390847,589.2614413466597
21,robot_3,-1,1361.6050420168067,536.5882352941177
22,ball,-1,1103.7777777777776,825.9244444444444
22,ball,-1,1115.0,817.0
22,ball,-1,726.4522653721682,632.7370550161812
22,robot_1,-1,1314.379062913766,611.2381582881305
22,robot_2,-1,1312.180957390847,589.2614413466597
22,robot_3,-1,1361.6050420168067,536.5882352941177
23,ball,-1,729.3693270735524,629.1757955138237
23,robot_1,-1,1314.379062913766,611.2381582881305
23,robot_2,-1,1312.180957390847,589.2614413466597
23,robot_3,-1,1361.6050420168067,536.5882352941177
24,ball,-1,735.1959064327485,624.436403508772
24,robot_1,-1,1314.379062913766,611.2381582881305
24,robot_2,-1,1312.180957390847,589.2614413466597
24,robot_3,-1,1361.6050420168067,536.5882352941177
25,ball,-1,736.3317829457364,620.0537467700258
25,robot_1,-1,1314.379062913766,611.2381582881305
25,robot_2,-1,1312.180957390847,589.2614413466597
25,robot_3,-1,1361.6050420168067,536.5882352941177
26,ball,-1,741.1871345029239,616.7497076023392
26,robot_1,-1,1314.379062913766,611.2381582881305
26,robot_2,-1,1312.180957390847,589.2614413466597
26,robot_3,-1,1361.6050420168067,536.5882352941177
27,ball,-1,743.771049596309,612.5720876585927
27,robot_1,-1,1314.379062913766,611.2381582881305
27,robot_2,-1,1312.180957390847,589.2614413466597
27,robot_3,-1,1361.6050420168067,536.5882352941177
28,ball,-1,747.7111111111111,608.7093567251461
28,robot_1,-1,1314.379062913766,611.2381582881305
28,robot_2,-1,1312.180957390847,589.2614413466597
28,robot_3,-1,1361.6050420168067,536.5882352941177
29,ball,-1,752.941798941799,604.9188712522046
29,robot_1,-1,1314.379062913766,611.2381582881305
29,robot_2,-1,1312.180957390847,589.2614413466597
29,robot_3,-1,1361.6050420168067,536.5882352941177
30,ball,-1,755.758496023138,602.0390455531453
30,robot_1,-1,1314.379062913766,611.2381582881305
30,robot_2,-1,1312.180957390847,589.2614413466597
30,robot_3,-1,1361.6050420168067,536.5882352941177
31,ball,-1,758.4198312236286,598.1054852320674
32,ball,-1,761.6876498800959,594.8189448441246
33,ball,-1,1373.2570281124497,657.4658634538152
33,ball,-1,764.8838383838383,590.9646464646464
34,ball,-1,1373.1479166666666,657.76875
34,ball,-1,766.7677141096734,587.7861983980283
35,ball,-1,1367.3927392739272,660.8564356435644
35,ball,-1,772.4504504504504,588.1081081081081
36,ball,-1,1368.4765063571033,662.9784411276949
36,ball,-1,770.6485225505443,581.8424053913944
37,ball,-1,1365.2596685082874,656.9429097605893
37,ball,-1,773.0194319880419,579.8460388639761
38,ball,-1,1366.4602977667494,662.2770885028949
38,ball,-1,774.7723328228687,577.8106176620724
39,ball,-1,1374.5238095238096,661.2222222222222
39,ball,-1,777.5153220762976,575.7473420888055
40,ball,-1,635.4722222222222,746.9
40,ball,-1,1371.4367816091954,662.3103448275862
40,ball,-1,778.7610273590172,572.8431044109436
41,ball,-1,642.258064516129,730.4301075268817
41,ball,-1,1364.3222836095763,659.5506445672191
41,ball,-1,782.243842364532,571.4466338259441
42,ball,-1,783.2611464968153,566.8811040339702
43,ball,-1,782.8633333333333,564.5177777777777
44,ball,-1,1344.1636363636364,643.1848484848484
44,ball,-1,785.5731922398588,565.4320987654321
45,ball,-1,787.7971014492753,562.5478260869565
46,ball,-1,1341.2773109243697,661.6890756302521
46,ball,-1,1336.3594470046082,646.8924731182796
51,ball,-1,675.4487179487179,652.3076923076923
51,ball,-1,1323.5562770562772,643.995670995671
52,ball,-1,1317.754290876242,646.8428184281843
53,ball,-1,668.2820512820513,649.3076923076923
53,ball,-1,675.0416666666666,644.8958333333333
53,ball,-1,1315.1855072463766,646.7797101449274
53,ball,-1,811.931203931204,547.8607698607698
54,ball,-1,1315.060606060606,667.6060606060605
54,ball,-1,1322.7860696517412,660.0348258706467
54,ball,-1,1316.3040816326532,646.3489795918367
54,ball,-1,674.6989247311827,632.8172043010752
54,ball,-1,817.6350322202694,547.3157586408904
55,ball,-1,1317.7030446816923,651.6255436931592
55,ball,-1,671.557734204793,629.1089324618736
55,ball,-1,824.7330981775425,547.2569077013521
56,ball,-1,1316.0391061452515,657.6750465549349
56,ball,-1,1320.9770114942528,640.271264367816
56,ball,-1,831.736569579288,544.9928802588996
57,ball,-1,1316.4704491725768,661.7966903073286
57,ball,-1,1327.9444444444443,640.3055555555555
57,ball,-1,1311.9474412171508,646.8603042876902
57,ball,-1,838.9581056466301,543.41985428051
58,ball,-1,1316.395061728395,661.5308641975308
58,ball,-1,844.6649916247906,543.1641541038525
59,ball,-1,848.5849500293943,541.3045267489712
60,ball,-1,1309.060606060606,664.4242424242424
60,ball,-1,1315.2037037037035,659.8148148148148
60,ball,-1,1307.6530214424952,647.438596491228
60,ball,-1,853.7452718676122,539.6607565011819
61,ball,-1,1307.5406137184116,652.1128158844765
61,ball,-1,859.8614232209737,539.4644194756554
62,ball,-1,1309.7911392405063,642.2426160337552
62,ball,-1,675.0701754385965,576.046783625731
62,ball,-1,865.3949771689497,540.6655251141552
63,ball,-1,1305.8745519713261,641.4623655913979
63,ball,-1,674.969135802469,570.2098765432098
63,ball,-1,872.8265993265993,538.9360269360269
64,ball,-1,876.9962462462462,534.8475975975975
65,ball,-1,1301.8082437275984,642.0
65,ball,-1,882.5682326621924,534.6256524981357
66,ball,-1,886.1991869918699,534.6130081300812
67,ball,-1,891.2474526928675,536.7918486171761
68,ball,-1,1280.233918128655,649.111111111111
68,ball,-1,1290.923076923077,638.9743589743589
68,ball,-1,898.1844331641284,535.4280879864637
69,ball,-1,900.1440407903123,533.4429572976418
70,ball,-1,1285.1107954545455,652.46875
70,ball,-1,905.9789590254705,534.6943521594684
71,ball,-1,1280.41797752809,651.692883895131
71,ball,-1,648.4,565.0444444444444
71,ball,-1,647.9333333333333,556.55
71,ball,-1,911.3888888888888,534.9054373522458
72,ball,-1,913.9850483729111,532.6904133685136
73,ball,-1,918.3852065321805,531.8155619596541
74,ball,-1,923.2077702702703,529.6655405405405
75,ball,-1,1261.5786163522012,657.7735849056604
75,ball,-1,1256.8189300411523,647.1604938271605
75,ball,-1,930.5901639344262,529.9547228727556
76,ball,-1,938.3448275862069,528.971264367816
77,ball,-1,943.0717839374555,528.6226012793177
78,ball,-1,1239.3720930232557,644.6976744186046
78,ball,-1,949.8146341463415,527.9831978319783
79,ball,-1,1240.7941176470588,662.8529411764706
79,ball,-1,1248.2666666666667,656.6666666666666
79,ball,-1,1238.313725490196,644.1960784313725
79,ball,-1,956.4591039868474,526.9490341142622
80,ball,-1,965.2034700315457,528.1109358569926
81,ball,-1,975.0881863560733,528.9290072102052
82,ball,-1,1235.377192982456,642.2456140350877
82,ball,-1,1248.3508771929824,640.8421052631579
82,ball,-1,983.3361742424241,530.6017992424241
83,ball,-1,1242.3333333333333,646.4166666666666
83,ball,-1,1248.71875,640.0625
