frame,robot_id,equipo,cx,cy
0,ball,-1,468.9452495974235,930.8652710681695
0,robot_0,0,408.9148689399211,560.1862096961262
0,robot_1,0,324.17759033397925,802.0036475549983
0,robot_2,1,367.92376933895923,849.8587904360056
0,robot_3,2,366.16825902335455,842.6045647558386
1,ball,-1,469.016051364366,931.0144462279294
1,robot_0,0,407.6346186416756,563.0426805171343
1,robot_1,0,329.3240854407071,801.4532285784434
1,robot_2,1,368.77597061909756,848.5947009443862
1,robot_3,2,370.2903938167096,833.8928965771071
2,ball,-1,468.8996415770609,930.9728622631848
2,robot_0,0,411.2546015712682,558.1943322109988
2,robot_1,0,327.67458988952126,795.2664881151658
2,robot_2,1,369.2178240740741,845.8159722222222
2,robot_3,2,380.9188235294118,838.8752941176471
3,ball,-1,468.8562091503267,930.9436902966314
3,robot_0,0,408.3701396973225,563.555529685681
3,robot_1,0,373.2966002344666,831.5111371629542
3,robot_2,1,355.5540450928382,822.2649204244032
3,robot_3,2,383.4690342139454,842.4161974880901
4,ball,-1,468.83696178035797,930.8437348814706
4,robot_0,0,407.82642744433406,569.6545497048683
4,robot_1,0,361.2340131351538,813.0352575181472
4,robot_2,1,341.5030173943912,800.3161756005206
4,robot_3,2,390.014367816092,843.3455459770115
5,ball,-1,468.9197722567287,930.9296066252588
5,robot_0,0,424.90891560069423,549.3501960532236
5,robot_1,0,386.4379538995895,850.5869908430692
5,robot_2,1,385.5906838453915,844.7155599603568
5,robot_3,2,375.7244206211572,840.3649692574492
6,ball,-1,468.9177810797424,930.9361069836552
6,robot_0,0,416.0699428436745,560.694596664899
6,robot_1,0,395.10285882699674,852.0601237842617
6,robot_2,1,384.3175112251443,862.28992944195
6,robot_3,2,364.33394471374294,823.0860736276693
7,ball,-1,469.002002002002,930.9829829829829
7,robot_0,0,416.270588915217,557.9036583251459
7,robot_1,0,405.4500978473581,862.0410958904109
7,robot_2,1,376.8015384615385,818.9815384615384
7,robot_3,2,367.1307802527029,823.6255047544614
8,ball,-1,469.05691056910564,930.9380081300811
8,robot_0,0,415.48105529048553,560.6033679483581
8,robot_1,0,407.71711491442545,869.0662591687042
8,robot_2,1,411.28487886382624,859.8028404344194
8,robot_3,2,367.03109121703363,821.9546334381805
9,ball,-1,469.161554192229,931.040899795501
9,robot_0,0,412.0881547515003,566.7468391306882
9,robot_1,0,407.82210855356635,867.8536516055698
9,robot_2,1,394.3589412524209,834.7701743060039
9,robot_3,2,370.52044878754975,824.4397394136807
10,ball,-1,469.19123085050177,930.8779714738511
10,robot_0,0,414.9374205318149,568.4027309414562
10,robot_1,0,424.25049504950493,877.1940594059406
10,robot_2,1,395.3257839721254,826.8675958188153
10,robot_3,2,374.0050516647532,829.6785304247991
11,ball,-1,469.09090909090907,930.9655880842321
11,robot_0,0,459.64817415730334,512.0914481897628
11,robot_1,0,426.372380952381,883.7457142857143
11,robot_2,1,397.43811002661937,852.6002661934339
11,robot_3,2,367.3576627975605,824.4104859335039
12,ball,-1,469.1392124237382,931.126455906822
12,robot_0,0,422.89181014425316,559.5967892042811
12,robot_1,0,427.7185501066098,896.592039800995
12,robot_2,1,389.50292740046837,843.9918032786885
12,robot_3,2,380.29018875751916,839.2093963907903
13,ball,-1,471.5648148148148,931.7473544973544
13,robot_0,0,469.61053837342496,580.8591065292096
13,robot_1,0,430.55584795321636,894.6387426900585
13,robot_2,1,434.0279493012675,904.035099122522
13,robot_3,2,436.0400490396404,884.381691867593
14,robot_0,0,422.1161373115175,582.4222008341354
14,robot_1,0,402.810700785112,860.6865367839488
14,robot_2,1,436.8491204330176,904.1125394677492
14,robot_3,2,392.5226764968722,856.4046023235031
15,robot_0,0,410.8063027940221,650.330669265757
15,robot_1,0,404.45851077558393,874.3994063750162
15,robot_2,1,445.43583535108957,903.6101694915254
15,robot_3,2,453.1310861423221,888.3670411985019
16,robot_0,0,426.6484530001609,587.7278138237975
16,robot_1,0,398.9488985798949,872.5528346192552
16,robot_2,1,443.4996934396076,914.4028203556101
16,robot_3,2,403.1458141674333,868.5188592456302
17,robot_0,0,429.9731369600166,583.5660944873723
17,robot_1,0,422.2256572862994,898.2781080724005
17,robot_2,1,440.5212211466865,905.1757259865972
17,robot_3,2,347.3067307692308,812.1355769230769
18,robot_0,0,429.9731369600166,583.5660944873723
18,robot_1,0,459.499466002136,938.2410110359558
18,robot_2,1,449.7291812456263,917.1925822253324
18,robot_3,2,315.11738994692473,815.2349359975024
19,robot_0,0,433.5051351489449,601.771651933984
19,robot_1,0,459.8029001074114,868.545918367347
19,robot_2,1,421.3147122562003,905.2317601733687
19,robot_3,2,292.8304347826087,806.0648550724637
20,robot_0,0,433.5051351489449,601.771651933984
20,robot_1,0,459.8029001074114,868.545918367347
20,robot_2,1,421.3147122562003,905.2317601733687
20,robot_3,2,292.8304347826087,806.0648550724637
21,robot_0,0,433.5051351489449,601.771651933984
21,robot_1,0,459.8029001074114,868.545918367347
21,robot_2,1,421.3147122562003,905.2317601733687
21,robot_3,2,292.8304347826087,806.0648550724637
22,robot_0,0,433.5051351489449,601.771651933984
22,robot_1,0,459.8029001074114,868.545918367347
22,robot_2,1,421.3147122562003,905.2317601733687
22,robot_3,2,292.8304347826087,806.0648550724637
23,robot_0,0,433.5051351489449,601.771651933984
23,robot_1,0,459.8029001074114,868.545918367347
23,robot_2,1,421.3147122562003,905.2317601733687
23,robot_3,2,292.8304347826087,806.0648550724637
24,robot_0,0,433.5051351489449,601.771651933984
24,robot_1,0,459.8029001074114,868.545918367347
24,robot_2,1,421.3147122562003,905.2317601733687
24,robot_3,2,292.8304347826087,806.0648550724637
25,robot_0,0,433.5051351489449,601.771651933984
25,robot_1,0,459.8029001074114,868.545918367347
25,robot_2,1,421.3147122562003,905.2317601733687
25,robot_3,2,292.8304347826087,806.0648550724637
26,robot_0,0,433.5051351489449,601.771651933984
26,robot_1,0,459.8029001074114,868.545918367347
26,robot_2,1,421.3147122562003,905.2317601733687
26,robot_3,2,292.8304347826087,806.0648550724637
27,robot_0,0,433.5051351489449,601.771651933984
27,robot_1,0,459.8029001074114,868.545918367347
27,robot_2,1,421.3147122562003,905.2317601733687
27,robot_3,2,292.8304347826087,806.0648550724637
28,robot_0,0,433.5051351489449,601.771651933984
28,robot_1,0,459.8029001074114,868.545918367347
28,robot_2,1,421.3147122562003,905.2317601733687
28,robot_3,2,292.8304347826087,806.0648550724637
29,robot_0,0,433.5051351489449,601.771651933984
29,robot_1,0,459.8029001074114,868.545918367347
29,robot_2,1,421.3147122562003,905.2317601733687
29,robot_3,2,292.8304347826087,806.0648550724637
30,robot_0,0,433.5051351489449,601.771651933984
30,robot_1,0,459.8029001074114,868.545918367347
