frame,vertice,x,y
0,0,0,1168
0,1,572,312
0,2,660,1064
1,0,0,1168
1,1,572,312
1,2,660,1064
2,0,0,1168
2,1,572,312
2,2,660,1064
3,0,0,1168
3,1,572,312
3,2,660,1064
4,0,0,1168
4,1,572,312
4,2,660,1064
5,0,0,1168
5,1,572,312
5,2,660,1064
6,0,0,1168
6,1,572,312
6,2,660,1064
7,0,0,1168
7,1,572,312
7,2,660,1064
8,0,0,1168
8,1,572,312
8,2,660,1064
9,0,0,1168
9,1,572,312
9,2,660,1064
10,0,0,1168
10,1,552,148
10,2,664,1068
11,0,0,1168
11,1,552,148
11,2,664,1068
12,0,0,1168
12,1,552,148
12,2,664,1068
13,0,0,1168
13,1,552,148
13,2,664,1068
14,0,0,1168
14,1,552,148
14,2,664,1068
15,0,0,1168
15,1,552,148
15,2,664,1068
16,0,0,1168
16,1,552,148
16,2,664,1068
17,0,0,1168
17,1,552,148
17,2,664,1068
18,0,0,1168
18,1,552,148
18,2,664,1068
19,0,0,1168
19,1,552,148
19,2,664,1068
20,0,648,1072
20,1,604,1072
20,2,556,188
21,0,648,1072
21,1,604,1072
21,2,556,188
22,0,648,1072
22,1,604,1072
22,2,556,188
23,0,648,1072
23,1,604,1072
23,2,556,188
24,0,648,1072
24,1,604,1072
24,2,556,188
25,0,648,1072
25,1,604,1072
25,2,556,188
26,0,648,1072
26,1,604,1072
26,2,556,188
27,0,648,1072
27,1,604,1072
27,2,556,188
28,0,648,1072
28,1,604,1072
28,2,556,188
29,0,648,1072
29,1,604,1072
29,2,556,188
30,0,476,1096
30,1,556,208
30,2,660,1064
31,0,476,1096
31,1,556,208
31,2,660,1064
32,0,476,1096
32,1,556,208
32,2,660,1064
33,0,476,1096
33,1,556,208
33,2,660,1064
34,0,476,1096
34,1,556,208
34,2,660,1064
35,0,476,1096
35,1,556,208
35,2,660,1064
36,0,476,1096
36,1,556,208
36,2,660,1064
37,0,476,1096
37,1,556,208
37,2,660,1064
38,0,476,1096
38,1,556,208
38,2,660,1064
39,0,476,1096
39,1,556,208
39,2,660,1064
40,0,620,1076
40,1,552,148
40,2,660,1028
41,0,620,1076
41,1,552,148
41,2,660,1028
42,0,620,1076
42,1,552,148
42,2,660,1028
43,0,620,1076
43,1,552,148
43,2,660,1028
44,0,620,1076
44,1,552,148
44,2,660,1028
45,0,620,1076
45,1,552,148
45,2,660,1028
46,0,620,1076
46,1,552,148
46,2,660,1028
47,0,620,1076
47,1,552,148
47,2,660,1028
48,0,620,1076
48,1,552,148
48,2,660,1028
49,0,620,1076
49,1,552,148
49,2,660,1028
50,0,632,1092
50,1,556,180
51,0,632,1092
51,1,556,180
52,0,632,1092
52,1,556,180
53,0,632,1092
53,1,556,180
54,0,632,1092
54,1,556,180
55,0,632,1092
55,1,556,180
56,0,632,1092
56,1,556,180
57,0,632,1092
57,1,556,180
58,0,632,1092
58,1,556,180
59,0,632,1092
59,1,556,180
60,0,656,1032
60,1,552,180
61,0,656,1032
61,1,552,180
62,0,656,1032
62,1,552,180
63,0,656,1032
63,1,552,180
64,0,656,1032
64,1,552,180
65,0,656,1032
65,1,552,180
66,0,656,1032
66,1,552,180
67,0,656,1032
67,1,552,180
68,0,656,1032
68,1,552,180
69,0,656,1032
69,1,552,180
70,0,644,992
70,1,556,204
71,0,644,992
71,1,556,204
72,0,644,992
72,1,556,204
73,0,644,992
73,1,556,204
74,0,644,992
74,1,556,204
75,0,644,992
75,1,556,204
76,0,644,992
76,1,556,204
77,0,644,992
77,1,556,204
78,0,644,992
78,1,556,204
79,0,644,992
79,1,556,204
80,0,596,1080
80,1,560,244
80,2,660,1064
81,0,596,1080
81,1,560,244
81,2,660,1064
82,0,596,1080
82,1,560,244
82,2,660,1064
83,0,596,1080
83,1,560,244
83,2,660,1064
84,0,596,1080
84,1,560,244
84,2,660,1064
85,0,596,1080
85,1,560,244
85,2,660,1064
86,0,596,1080
86,1,560,244
86,2,660,1064
87,0,596,1080
87,1,560,244
87,2,660,1064
88,0,596,1080
88,1,560,244
88,2,660,1064
89,0,596,1080
89,1,560,244
89,2,660,1064
90,0,636,1072
90,1,564,252
91,0,636,1072
91,1,564,252
92,0,636,1072
92,1,564,252
93,0,636,1072
93,1,564,252
94,0,636,1072
94,1,564,252
95,0,636,1072
95,1,564,252
96,0,636,1072
96,1,564,252
97,0,636,1072
97,1,564,252
98,0,636,1072
98,1,564,252
99,0,636,1072
99,1,564,252
100,0,0,1168
100,1,556,172
100,2,672,1084
101,0,0,1168
101,1,556,172
101,2,672,1084
102,0,0,1168
102,1,556,172
102,2,672,1084
103,0,0,1168
103,1,556,172
103,2,672,1084
104,0,0,1168
104,1,556,172
104,2,672,1084
105,0,0,1168
105,1,556,172
105,2,672,1084
106,0,0,1168
106,1,556,172
106,2,672,1084
107,0,0,1168
107,1,556,172
107,2,672,1084
108,0,0,1168
108,1,556,172
108,2,672,1084
109,0,0,1168
109,1,556,172
109,2,672,1084
110,0,0,1164
110,1,560,204
110,2,664,1072
111,0,0,1164
111,1,560,204
111,2,664,1072
112,0,0,1164
112,1,560,204
112,2,664,1072
113,0,0,1164
113,1,560,204
113,2,664,1072
114,0,0,1164
114,1,560,204
114,2,664,1072
115,0,0,1164
115,1,560,204
115,2,664,1072
116,0,0,1164
116,1,560,204
116,2,664,1072
117,0,0,1164
117,1,560,204
117,2,664,1072
118,0,0,1164
118,1,560,204
118,2,664,1072
119,0,0,1164
119,1,560,204
119,2,664,1072
120,0,0,1168
120,1,556,168
120,2,660,1064
121,0,0,1168
121,1,556,168
121,2,660,1064
122,0,0,1168
122,1,556,168
122,2,660,1064
123,0,0,1168
123,1,556,168
123,2,660,1064
124,0,0,1168
124,1,556,168
124,2,660,1064
125,0,0,1168
125,1,556,168
125,2,660,1064
126,0,0,1168
126,1,556,168
126,2,660,1064
127,0,0,1168
127,1,556,168
127,2,660,1064
128,0,0,1168
128,1,556,168
128,2,660,1064
129,0,0,1168
129,1,556,168
129,2,660,1064
130,0,0,1168
130,1,556,204
130,2,660,1064
131,0,0,1168
131,1,556,204
131,2,660,1064
132,0,0,1168
132,1,556,204
132,2,660,1064
133,0,0,1168
133,1,556,204
133,2,660,1064
134,0,0,1168
134,1,556,204
134,2,660,1064
135,0,0,1168
135,1,556,204
135,2,660,1064
136,0,0,1168
136,1,556,204
136,2,660,1064
137,0,0,1168
137,1,556,204
137,2,660,1064
138,0,0,1168
138,1,556,204
138,2,660,1064
139,0,0,1168
139,1,556,204
139,2,660,1064
140,0,628,1072
140,1,0,1168
140,2,264,1012
140,3,448,988
141,0,628,1072
141,1,0,1168
141,2,264,1012
141,3,448,988
142,0,628,1072
142,1,0,1168
142,2,264,1012
142,3,448,988
143,0,628,1072
143,1,0,1168
143,2,264,1012
143,3,448,988
144,0,628,1072
144,1,0,1168
144,2,264,1012
144,3,448,988
145,0,628,1072
145,1,0,1168
145,2,264,1012
145,3,448,988
146,0,628,1072
146,1,0,1168
146,2,264,1012
146,3,448,988
147,0,628,1072
147,1,0,1168
147,2,264,1012
147,3,448,988
148,0,628,1072
148,1,0,1168
148,2,264,1012
148,3,448,988
149,0,628,1072
149,1,0,1168
149,2,264,1012
149,3,448,988
150,0,652,996
150,1,552,192
151,0,652,996
151,1,552,192
152,0,652,996
152,1,552,192
153,0,652,996
153,1,552,192
154,0,652,996
154,1,552,192
155,0,652,996
155,1,552,192
156,0,652,996
156,1,552,192
157,0,652,996
157,1,552,192
158,0,652,996
158,1,552,192
159,0,652,996
159,1,552,192
160,0,652,1000
160,1,552,188
161,0,652,1000
161,1,552,188
162,0,652,1000
162,1,552,188
163,0,652,1000
163,1,552,188
164,0,652,1000
164,1,552,188
165,0,652,1000
165,1,552,188
166,0,652,1000
166,1,552,188
167,0,652,1000
167,1,552,188
168,0,652,1000
168,1,552,188
169,0,652,1000
169,1,552,188
170,0,580,1076
170,1,0,1168
170,2,260,1012
170,3,456,988
171,0,580,1076
171,1,0,1168
171,2,260,1012
171,3,456,988
172,0,580,1076
172,1,0,1168
172,2,260,1012
172,3,456,988
173,0,580,1076
173,1,0,1168
173,2,260,1012
173,3,456,988
174,0,580,1076
174,1,0,1168
174,2,260,1012
174,3,456,988
175,0,580,1076
175,1,0,1168
175,2,260,1012
175,3,456,988
176,0,580,1076
176,1,0,1168
176,2,260,1012
176,3,456,988
177,0,580,1076
177,1,0,1168
177,2,260,1012
177,3,456,988
178,0,580,1076
178,1,0,1168
178,2,260,1012
178,3,456,988
179,0,580,1076
179,1,0,1168
179,2,260,1012
179,3,456,988
180,0,660,1060
180,1,536,144
181,0,660,1060
181,1,536,144
182,0,660,1060
182,1,536,144
183,0,660,1060
183,1,536,144
184,0,660,1060
184,1,536,144
185,0,660,1060
185,1,536,144
186,0,660,1060
186,1,536,144
187,0,660,1060
187,1,536,144
188,0,660,1060
188,1,536,144
189,0,660,1060
189,1,536,144
190,0,652,1008
190,1,0,200
190,2,552,144
191,0,652,1008
191,1,0,200
191,2,552,144
192,0,652,1008
192,1,0,200
192,2,552,144
193,0,652,1008
193,1,0,200
193,2,552,144
194,0,652,1008
194,1,0,200
194,2,552,144
195,0,652,1008
195,1,0,200
195,2,552,144
196,0,652,1008
196,1,0,200
196,2,552,144
197,0,652,1008
197,1,0,200
197,2,552,144
198,0,652,1008
198,1,0,200
198,2,552,144
199,0,652,1008
199,1,0,200
199,2,552,144
200,0,652,1068
200,1,232,296
200,2,352,160
200,3,556,156
201,0,652,1068
201,1,232,296
201,2,352,160
201,3,556,156
202,0,652,1068
202,1,232,296
202,2,352,160
202,3,556,156
203,0,652,1068
203,1,232,296
203,2,352,160
203,3,556,156
204,0,652,1068
204,1,232,296
204,2,352,160
204,3,556,156
205,0,652,1068
205,1,232,296
205,2,352,160
205,3,556,156
206,0,652,1068
206,1,232,296
206,2,352,160
206,3,556,156
207,0,652,1068
207,1,232,296
207,2,352,160
207,3,556,156
208,0,652,1068
208,1,232,296
208,2,352,160
208,3,556,156
209,0,652,1068
209,1,232,296
209,2,352,160
209,3,556,156
210,0,672,1084
210,1,592,1076
210,2,212,296
210,3,356,160
210,4,552,144
211,0,672,1084
211,1,592,1076
211,2,212,296
211,3,356,160
211,4,552,144
212,0,672,1084
212,1,592,1076
212,2,212,296
212,3,356,160
212,4,552,144
213,0,672,1084
213,1,592,1076
213,2,212,296
213,3,356,160
213,4,552,144
214,0,672,1084
214,1,592,1076
214,2,212,296
214,3,356,160
214,4,552,144
215,0,672,1084
215,1,592,1076
215,2,212,296
215,3,356,160
215,4,552,144
216,0,672,1084
216,1,592,1076
216,2,212,296
216,3,356,160
216,4,552,144
217,0,672,1084
217,1,592,1076
217,2,212,296
217,3,356,160
217,4,552,144
218,0,672,1084
218,1,592,1076
218,2,212,296
218,3,356,160
218,4,552,144
219,0,672,1084
219,1,592,1076
219,2,212,296
219,3,356,160
219,4,552,144
220,0,672,1084
220,1,212,296
220,2,352,160
