epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.65439,1.46957,3.37057,1.53299,0.37229,0.2651,0.2914,0.20422,1.37564,2.91074,1.55858,7.777e-05,7.777e-05,7.777e-05
2,6.98295,1.17675,1.9187,1.31857,0.64727,0.5314,0.52633,0.37268,1.21154,1.98357,1.39122,0.000166487,0.000166487,0.000166487
3,8.99742,1.03254,1.52161,1.23993,0.66088,0.54329,0.56105,0.39369,1.15482,1.91021,1.31437,0.000254533,0.000254533,0.000254533
4,10.9969,0.96666,1.27664,1.17091,0.73712,0.58962,0.60546,0.42483,1.14938,1.64197,1.31305,0.00034139,0.00034139,0.00034139
5,13.0225,0.94925,1.1834,1.16056,0.62989,0.68754,0.61551,0.42629,1.14278,1.91644,1.30275,0.000426552,0.000426552,0.000426552
6,15.3858,0.92936,1.09713,1.13483,0.65393,0.66714,0.65607,0.4725,1.07677,1.56275,1.26252,0.000509519,0.000509519,0.000509519
7,17.5379,0.90807,1.02494,1.13395,0.71009,0.64196,0.63304,0.45607,1.04169,1.38972,1.22065,0.00058981,0.00058981,0.00058981
8,19.5791,0.92334,1.009,1.12928,0.76767,0.63637,0.6834,0.50371,1.00821,1.39628,1.22974,0.000666956,0.000666956,0.000666956
9,21.6976,0.90693,1.00622,1.1161,0.74191,0.66951,0.69607,0.49711,1.03606,1.36108,1.26583,0.000740513,0.000740513,0.000740513
10,23.5716,0.92197,1.01032,1.11825,0.69801,0.64356,0.64766,0.45655,1.07287,1.55455,1.29083,0.000810057,0.000810057,0.000810057
11,25.4892,0.88001,0.91718,1.11429,0.62668,0.66627,0.62922,0.46181,1.04041,1.42597,1.31682,0.000875194,0.000875194,0.000875194
12,27.3604,0.87734,0.9087,1.09898,0.67381,0.67963,0.68778,0.50486,0.98874,1.31683,1.23373,0.000935555,0.000935555,0.000935555
13,29.4197,0.89642,0.90095,1.11571,0.67264,0.71242,0.69599,0.49818,0.97666,1.30549,1.23398,0.000961948,0.000961948,0.000961948
