frame,id_objeto,equipo,pixel_x,pixel_y,cenital_x,cenital_y
0,ball,-1,469,929,371,91
0,robot_0,0,364,842,329,138
0,robot_1,0,544,235,49,12
0,robot_2,1,252,735,277,191
1,ball,-1,469,929,371,91
1,robot_0,0,367,843,330,137
1,robot_1,0,545,233,48,11
1,robot_2,1,254,728,274,189
2,ball,-1,469,929,371,91
2,robot_0,0,371,845,331,135
2,robot_1,0,544,229,46,11
2,robot_2,1,257,722,272,188
3,ball,-1,469,929,371,91
3,robot_0,0,376,847,332,133
3,robot_1,0,541,226,44,13
3,robot_2,1,262,718,270,185
4,ball,-1,469,929,371,91
4,robot_0,0,381,850,333,130
4,robot_1,0,538,220,41,14
4,robot_2,1,268,714,269,182
5,ball,-1,469,929,371,91
5,robot_0,0,386,855,336,128
5,robot_1,0,534,215,38,16
5,robot_2,1,273,713,269,179
6,ball,-1,469,929,371,91
6,robot_0,0,392,859,338,125
6,robot_1,0,529,209,34,19
6,robot_2,1,278,713,269,177
7,ball,-1,469,929,371,91
7,robot_0,0,397,863,340,123
7,robot_1,0,522,205,31,22
7,robot_2,1,282,715,270,175
8,ball,-1,469,929,371,91
8,robot_0,0,403,867,342,120
8,robot_1,0,515,202,29,26
8,robot_2,1,286,719,272,173
9,ball,-1,469,929,371,91
9,robot_0,0,408,872,344,118
9,robot_1,0,509,197,26,29
9,robot_2,1,288,725,275,172
10,ball,-1,469,929,371,91
10,robot_0,0,413,875,345,116
10,robot_1,0,504,194,24,32
10,robot_2,1,290,732,278,171
11,ball,-1,470,929,371,90
11,robot_0,0,419,881,348,113
11,robot_1,0,502,191,23,33
11,robot_2,1,292,738,281,171
12,ball,-1,470,930,371,90
12,robot_0,0,423,886,351,111
12,robot_1,0,501,189,21,33
12,robot_2,1,293,747,285,170
13,ball,-1,471,930,371,90
13,robot_0,0,430,892,353,108
13,robot_1,0,502,187,20,32
13,robot_2,1,293,755,288,171
14,robot_0,0,435,896,355,106
14,robot_1,0,503,185,19,32
14,robot_2,1,293,764,292,171
15,robot_0,0,438,903,358,105
15,robot_1,0,504,184,19,31
15,robot_2,1,292,773,296,172
16,robot_0,0,442,910,361,103
16,robot_1,0,505,182,18,30
16,robot_2,1,292,780,299,172
17,robot_0,0,446,917,365,101
17,robot_1,0,507,179,16,29
17,robot_2,1,292,787,302,172
18,robot_0,0,451,923,367,99
18,robot_1,0,508,177,15,28
18,robot_2,1,292,795,305,172
19,robot_0,0,456,931,371,97
19,robot_1,0,509,174,13,28
19,robot_2,1,293,804,309,172
20,robot_0,0,461,936,373,95
20,robot_1,0,511,171,12,26
20,robot_2,1,293,814,313,172
21,robot_0,0,467,942,376,92
21,robot_1,0,512,169,11,25
21,robot_2,1,293,824,318,173
22,robot_0,0,472,947,378,90
22,robot_1,0,513,167,10,25
22,robot_2,1,292,829,320,173
23,robot_0,0,477,952,380,88
23,robot_1,0,513,166,9,25
23,robot_2,1,292,841,325,174
24,ball,-1,517,991,398,70
24,robot_0,0,480,954,381,86
24,robot_1,0,515,164,8,23
24,robot_2,1,293,855,331,174
25,robot_0,0,487,962,385,83
25,robot_1,0,516,161,7,23
25,robot_2,1,293,868,336,174
26,robot_0,0,491,967,387,82
26,robot_1,0,518,159,5,21
26,robot_2,1,292,880,341,175
27,robot_0,0,495,972,389,80
27,robot_1,0,519,157,4,21
27,robot_2,1,292,893,346,175
28,robot_0,0,499,978,392,78
28,robot_1,0,520,155,3,20
28,robot_2,1,292,905,351,175
29,robot_0,0,501,979,392,77
29,robot_1,0,522,152,2,19
29,robot_2,1,291,918,356,176
30,robot_0,0,509,994,399,74
30,robot_1,0,523,151,1,18
30,robot_2,1,291,929,361,177
31,robot_0,0,513,1000,401,73
31,robot_1,0,525,150,1,17
31,robot_2,1,290,942,366,177
32,robot_0,0,516,1001,402,71
32,robot_1,0,526,147,0,16
32,robot_2,1,290,953,370,178
33,robot_0,0,522,1009,405,69
33,robot_1,0,526,147,0,16
33,robot_2,1,291,962,374,178
34,ball,-1,564,1048,423,51
34,robot_0,0,525,1003,403,67
34,robot_1,0,525,149,0,17
34,robot_2,1,294,970,377,176
35,robot_0,0,534,1011,407,63
35,robot_1,0,523,149,0,18
35,robot_2,1,298,977,380,175
36,ball,-1,576,1063,429,46
36,robot_0,0,540,1009,406,60
36,robot_1,0,520,151,1,20
36,robot_2,1,303,982,383,172
37,robot_0,0,545,1007,406,58
37,robot_1,0,516,154,3,22
37,robot_2,1,307,984,384,171
38,robot_0,0,550,1008,407,55
38,robot_1,0,512,158,5,25
38,robot_2,1,311,984,384,169
39,ball,-1,588,1080,436,41
39,robot_0,0,551,1008,407,55
39,robot_1,0,508,163,7,27
39,robot_2,1,313,983,384,168
40,ball,-1,592,1084,438,39
40,robot_0,0,551,1007,406,55
40,robot_1,0,505,166,9,29
40,robot_2,1,316,983,384,166
41,ball,-1,596,1088,440,38
41,robot_0,0,551,1008,407,55
41,robot_1,0,504,169,10,30
41,robot_2,1,318,985,385,165
42,ball,-1,600,1092,442,36
42,robot_0,0,551,1010,407,55
42,robot_1,0,504,169,10,30
42,robot_2,1,319,987,386,165
43,ball,-1,604,1094,443,34
43,robot_0,0,551,1013,409,55
43,robot_1,0,504,168,10,30
43,robot_2,1,320,989,386,164
44,ball,-1,607,1096,444,33
44,robot_0,0,552,1018,411,55
44,robot_1,0,504,166,9,30
44,robot_2,1,320,989,386,164
45,ball,-1,611,1097,444,31
45,robot_0,0,553,1020,411,54
45,robot_1,0,505,163,7,29
45,robot_2,1,320,988,386,164
46,ball,-1,615,1098,445,29
46,robot_0,0,557,1026,414,53
46,robot_1,0,507,162,7,28
46,robot_2,1,320,991,387,165
47,ball,-1,618,1097,445,28
47,robot_0,0,556,1025,414,53
47,robot_1,0,509,161,6,27
47,robot_2,1,320,994,388,165
48,ball,-1,621,1096,444,26
48,robot_0,0,556,1025,414,53
48,robot_1,0,510,159,5,26
48,robot_2,1,320,995,389,165
49,ball,-1,623,1095,444,25
49,robot_0,0,558,1026,414,52
49,robot_1,0,513,156,4,24
49,robot_2,1,321,997,390,164
50,ball,-1,626,1092,443,24
50,robot_0,0,562,1028,415,51
50,robot_1,0,515,154,2,23
50,robot_2,1,320,996,389,165
51,ball,-1,628,1090,443,23
51,robot_0,0,566,1032,417,49
51,robot_1,0,516,152,1,22
51,robot_2,1,320,995,389,165
52,ball,-1,631,1086,441,21
52,robot_0,0,574,1038,420,45
52,robot_1,0,519,151,1,20
52,robot_2,1,320,994,388,165
53,ball,-1,633,1081,439,20
53,robot_0,0,579,1042,421,43
53,robot_1,0,520,149,0,19
53,robot_2,1,320,993,388,165
54,ball,-1,635,1076,438,18
54,robot_0,0,583,1045,423,41
54,robot_1,0,521,148,0,19
54,robot_2,1,321,990,387,164
55,ball,-1,637,1072,436,17
55,robot_0,0,589,1050,425,39
55,robot_1,0,523,147,0,18
55,robot_2,1,321,986,385,164
56,robot_0,0,595,1055,427,36
56,robot_1,0,523,146,-1,18
56,robot_2,1,321,979,382,164
57,robot_0,0,598,1057,428,35
57,robot_1,0,523,145,-1,17
57,robot_2,1,321,972,380,163
58,robot_0,0,603,1062,430,33
58,robot_1,0,521,147,0,19
58,robot_2,1,321,964,377,163
59,robot_0,0,606,1064,431,32
59,robot_1,0,519,148,0,20
59,robot_2,1,320,956,373,163
60,robot_0,0,608,1065,432,31
60,robot_1,0,516,151,1,22
60,robot_2,1,319,948,370,164
61,ball,-1,650,1048,428,10
61,robot_0,0,609,1066,432,30
61,robot_1,0,513,154,2,24
61,robot_2,1,319,939,366,163
62,robot_0,0,609,1067,433,30
62,robot_1,0,511,157,4,25
62,robot_2,1,318,930,363,164
63,robot_0,0,608,1070,434,31
63,robot_1,0,512,156,3,25
63,robot_2,1,318,923,360,163
64,ball,-1,655,1036,423,7
64,robot_0,0,603,1068,433,33
64,robot_1,0,514,154,2,23
64,robot_2,1,318,920,359,163
65,ball,-1,656,1032,422,6
65,robot_0,0,598,1065,431,35
65,robot_1,0,517,152,1,21
65,robot_2,1,318,919,358,163
66,ball,-1,657,1030,421,5
66,robot_0,0,595,1065,431,37
66,robot_1,0,519,150,0,20
66,robot_2,1,318,920,359,163
67,ball,-1,659,1027,420,4
67,robot_0,0,591,1063,430,39
67,robot_1,0,520,150,0,20
67,robot_2,1,318,921,359,163
68,ball,-1,660,1024,419,3
68,robot_0,0,586,1061,429,41
68,robot_1,0,521,148,0,19
68,robot_2,1,318,925,361,163
69,ball,-1,661,1021,418,3
69,robot_0,0,583,1059,428,42
69,robot_1,0,522,147,0,18
69,robot_2,1,317,929,362,164
70,ball,-1,662,1018,417,2
70,robot_0,0,579,1059,428,44
70,robot_1,0,524,144,-2,17
70,robot_2,1,317,931,363,164
71,ball,-1,663,1016,416,1
71,robot_0,0,576,1059,428,46
71,robot_1,0,526,143,-2,16
71,robot_2,1,317,931,363,164
72,ball,-1,662,1013,415,2
72,robot_0,0,571,1056,426,48
72,robot_1,0,527,141,-3,15
72,robot_2,1,317,930,363,164
73,ball,-1,661,1010,414,2
73,robot_0,0,567,1053,425,50
73,robot_1,0,531,141,-3,13
73,robot_2,1,317,930,363,164
74,ball,-1,660,1008,413,2
74,robot_0,0,564,1053,425,51
74,robot_1,0,534,142,-2,11
74,robot_2,1,317,930,363,164
75,ball,-1,659,1005,412,3
75,robot_0,0,559,1051,424,53
75,robot_1,0,538,144,-1,9
75,robot_2,1,317,930,363,164
76,ball,-1,657,1003,411,4
76,robot_0,0,555,1050,423,55
76,robot_1,0,541,150,2,7
76,robot_2,1,317,930,363,164
77,ball,-1,656,1001,410,4
77,robot_0,0,552,1051,423,57
77,robot_1,0,545,155,5,5
